idx,tbats_fc
448,8127.11277563852
449,8025.04674649772
450,7895.6555005267
451,7748.44241027275
452,7594.16606383284
453,7444.10416037892
454,7309.28402931261
455,7199.73161801612
456,7123.78537126502
457,7087.52671239404
458,7094.36591352244
459,7144.80688697679
460,7236.4112754556
461,7363.96475635423
462,7519.82965857382
463,7694.46362899789
464,7877.06989022641
465,8056.3303747579
466,8221.17498758707
467,8361.5358118542
468,8469.03066356385
469,8537.53210377062
470,8563.58465603846
471,8546.6378344716
472,8489.08130516331
473,8396.08153683691
474,8275.22736695751
475,8136.01038866354
476,7989.17749363491
477,7845.99626035236
478,7717.48458692904
479,7613.65911497518
480,7542.85051140612
481,7511.13323052097
482,7521.91074272009
483,7575.68163070379
484,7670.00311448118
485,7799.65665535138
486,7957.00177487796
487,8132.49429652083
488,8315.33586121309
489,8494.20815815952
490,8658.04188919949
491,8796.77020575632
492,8902.01325350626
493,8967.64699935969
494,8990.21966723369
495,8969.1856498452
496,8906.94058470266
497,8808.65722196777
498,8681.93176999938
499,8536.26428373548
500,8382.41043399228
501,8231.64757385704
502,8095.00444760209
503,7982.50885898289
504,7902.50353389191
505,7861.07602153709
506,7861.6431929682
507,7904.71782564326
508,7987.87231967529
509,8105.90360304942
510,8251.18735192701
511,8414.19646556416
512,8584.1499193831
513,8749.74731598004
514,8899.93811555835
515,9024.67445034916
516,9115.59591462278
517,9166.59868210451
518,9174.25136190265
519,9138.02908724241
520,9060.3488986857
521,8946.40507663538
522,8803.81560198166
523,8642.10286177662
524,8472.04492866202
525,8304.94168708967
526,8151.84486368538
527,8022.80525145665
528,7926.18858347544
529,7868.10575455174
530,7851.99692113373
531,7878.39805442084
532,7944.90497179656
533,8046.33788804539
534,8175.09556781457
535,8321.67410677207
536,8475.31547402739
537,8624.74196472647
538,8758.92572481039
539,8867.84129649713
540,8943.15028481213
541,8978.7707550678
542,8971.29285963681
543,8920.2127832913
544,8827.96839044396
545,8699.77436612863
546,8543.26851812005
547,8367.99272931973
548,8184.74408097178
549,8004.84080961705
550,7839.35256605113
551,7698.34751619625
552,7590.20803877372
553,7521.06115705093
554,7494.36254577886
555,7510.66290514314
556,7567.57218370048
557,7659.924064473
558,7780.12993828984
559,7918.69785813109
560,8064.88104173866
561,8207.41214793316
562,8335.27295674644
563,8438.44689791329
564,8508.60354638363
565,8539.6681580766
566,8528.2373000498
567,8473.81263212849
568,8378.83667619913
569,8248.52797861703
570,8090.5272576204
571,7914.37846254904
572,7730.87993425678
573,7551.35021772805
574,7386.8584137384
575,7247.47133053891
576,7141.56904860877
577,7075.27543212061
578,7052.04219826663
579,7072.41517046742
580,7133.99856921371
581,7231.61957020763
582,7357.68216963077
583,7502.68619575248
584,7655.8758914525
585,7805.97409537937
586,7941.95196985665
587,8053.78161548334
588,8133.12048442829
589,8173.88095557657
590,8172.64605546221
591,8128.90317044799
592,8045.07984808328
593,7926.37905351089
594,7780.42525985411
595,7616.74553315567
