"","x"
"175",7721.06158667885
"176",8140.93087221417
"177",8598.94893212813
"178",8855.46808583993
"179",8994.32869745465
"180",9150.90654851363
"181",8999.57804442537
"182",8948.81446351049
"183",8917.11055516444
"184",8832.28436828113
"185",8742.59400407311
"186",8686.74886669674
"187",8742.02489711654
"188",8712.64768134527
"189",8495.04321894898
"190",8245.09767602314
"191",8017.49318577971
"192",7869.683381275
"193",7544.62428741785
"194",7454.81443269622
"195",7460.69837078166
"196",7459.17020150891
"197",7384.11737073548
"198",7442.10271446745
"199",7686.94758149164
"200",8147.12757978029
"201",8565.53110757157
"202",8812.62081489163
"203",8963.95428246647
"204",9110.11480816237
"205",8975.58706675023
"206",8905.48193554954
"207",8880.9301184692
"208",8788.98908308891
"209",8718.87743325454
"210",8652.13474528692
"211",8708.83130432435
"212",8672.10475162184
"213",8476.30997120226
"214",8223.17863992021
"215",7997.80912839447
"216",7836.62169595724
"217",7062.62320168203
"218",6951.10842866666
"219",6940.18348298766
"220",6929.78298174297
"221",6831.70572123843
"222",6894.95761319122
"223",7129.25921092462
"224",7517.75257993264
"225",7968.04327719453
"226",8214.12456949082
"227",8364.7761059526
"228",8498.98682580221
"229",8356.63408204846
"230",8299.68564901148
"231",8245.21095545049
"232",8129.73025945169
"233",8050.61747713163
"234",7989.22018691365
"235",8102.92257437629
"236",8076.12953692579
"237",7843.05152762603
"238",7594.27083917043
"239",7382.19762551427
"240",7236.43673188716
"241",7040.16384961551
"242",6938.09285211582
"243",6927.57532407415
"244",6913.06786969222
"245",6827.43810400554
"246",6876.24802827576
"247",7128.71705829288
"248",7559.76115239332
"249",7966.35638752064
"250",8211.13173211613
"251",8309.15783507044
"252",8424.89898527646
"253",8266.23079919621
"254",8183.06203402904
"255",8141.36352199354
"256",8031.18084335214
"257",7939.7359082035
"258",7904.32672290855
"259",8036.5945013756
"260",8022.34890817629
"261",7818.61810839154
"262",7585.09192923501
"263",7381.60137240164
"264",7226.70362763228
"265",6916.91016692746
"266",6797.59798245872
"267",6785.89464025636
