"","x"
"147",7494.61206406763
"148",7524.29017867174
"149",7413.79568888287
"150",7475.79851040988
"151",7755.09209787017
"152",8140.9601425423
"153",8733.71217951197
"154",9001.8641024241
"155",9085.37637356887
"156",9077.85531733096
"157",8881.78266168899
"158",8648.20718600708
"159",8683.27759600721
"160",8616.7363843578
"161",8558.35694295913
"162",8486.37954570394
"163",8613.07875612145
"164",8711.48438215016
"165",8411.3840142358
"166",8057.61720620238
"167",7678.20860302679
"168",7577.96199943273
"169",7547.37953421096
"170",7429.6144767671
"171",7434.63609322891
"172",7420.35956955003
"173",7525.75577522773
"174",7334.940927295
"175",7726.44104375706
"176",8393.97346499343
"177",8725.91935222174
"178",8931.4616331887
"179",9067.46729250839
"180",9246.2097510842
"181",8757.22224258601
"182",8817.46620553744
"183",8830.85843552421
"184",8760.66555258094
"185",8718.48828766236
"186",8638.22584029865
"187",8626.39367449976
"188",8713.55212067654
"189",8563.39438295417
"190",8023.75996121569
"191",7897.36299380341
"192",7759.81720128739
"193",7544.21489122146
"194",7503.35991326692
"195",7607.29000559548
"196",7635.12089940671
"197",7581.88639789532
"198",7556.532717788
"199",7858.34053114892
"200",8355.39908622079
"201",8913.56778270365
"202",9066.46763878258
"203",9074.92193156788
"204",9095.88541316655
"205",8974.32419594216
"206",8875.02675876731
"207",8869.56560069497
"208",8636.90470841154
"209",8631.80225359105
"210",8624.05539975932
"211",8711.5605351816
"212",8796.1965469167
"213",8387.35249366568
"214",8130.30591063145
"215",7851.3056106351
"216",7795.05091144274
"217",6919.79209887952
"218",6972.84369620827
"219",6983.03016103676
"220",6949.81378224762
"221",6937.02882508049
"222",6957.11559995506
"223",7286.6862369525
"224",7613.23393674431
"225",8080.50797894469
"226",8247.14898623713
"227",8231.68565775073
"228",8352.12231178948
"229",8163.2884327971
"230",8034.88642547345
"231",8185.91012611448
"232",8058.32418488304
"233",7674.32506518724
"234",7714.06310044766
"235",8077.36742094737
"236",8109.4046966637
"237",7691.50832935228
"238",7347.18292470079
"239",7084.97973497275
"240",7081.00954863398
"241",7061.34318083098
"242",7148.01821301174
"243",7149.94423380003
"244",7156.34004204875
"245",6986.94644162879
"246",6908.52742406449
"247",6950.11126342814
"248",7227.54452029227
"249",7633.95282008377
"250",7867.65416162878
"251",7841.7622230584
"252",7841.24213082198
"253",7979.6907723076
"254",7766.93716987215
"255",7702.88896423156
"256",7555.48981081597
"257",7649.70280220779
"258",7687.36481041789
"259",7770.17264903217
"260",7831.50045477383
"261",7565.50862169282
"262",7430.63181025511
"263",7195.80494594614
"264",7065.66047793346
"265",6889.61761039786
"266",6736.91225300617
"267",6741.00619981735
"268",6764.71437207757
"269",6804.21435953064
"270",6778.94788896413
"271",6913.37234047978
"272",7068.02352848089
"273",7428.07780477707
"274",7602.3009844893
"275",7804.21296251071
"276",7771.23698214451
"277",7603.7002562204
"278",7528.18304845706
"279",7688.19373396573
"280",7471.56071925721
"281",7506.60731400009
"282",7433.89194137734
"283",7551.97228074594
"284",7700.28559573907
"285",7481.407074763
"286",7303.06753203369
"287",7087.56988810224
"288",6924.38376699631
"289",6624.73551849644
"290",6652.13970150341
"291",6702.30658867862
"292",6798.38222728873
"293",6746.65212602527
"294",6714.72262019341
"295",7122.79474001571
"296",7404.68805187273
"297",8104.00273122133
"298",8296.51387946324
"299",8358.47875566658
"300",8256.91673983864
"301",7981.30613929576
"302",8064.87637361791
"303",7790.90273331892
"304",7748.77107282858
"305",7709.56741055626
"306",7711.43575181795
"307",7959.19380825086
"308",8129.92630915502
"309",7832.71471065452
"310",7434.21754382131
"311",7272.85098800878
"312",7103.72558825829
"313",6742.54816428283
"314",6794.89779733594
"315",6797.8592549805
"316",6963.15796856407
"317",6769.37710135851
"318",6790.14454423518
"319",7175.0529084245
"320",7712.74068377043
"321",8111.37266120511
"322",8185.54235061124
"323",8252.9360419375
"324",8365.97140542058
"325",8269.46607515969
"326",7979.15928656264
"327",7970.36236425238
"328",7705.7739852985
"329",7633.65629637651
"330",7638.14070357727
"331",8065.76163871528
"332",8124.97721106436
"333",7462.65276475492
"334",7335.27020436497
"335",7144.20662798714
"336",6969.94939409159
"337",6982.31167127206
"338",6975.98583857642
"339",7054.77204820727
"340",7117.08020763739
"341",7177.23611530827
"342",7147.2020351282
"343",7536.35079264147
"344",7960.0692066292
"345",8143.91168548217
"346",8377.58328353034
"347",8481.89964508443
"348",8501.57003724705
"349",8327.89757776742
"350",8116.31043283545
"351",7902.88563487323
"352",7880.1319738433
"353",7822.32046849187
"354",7586.56726477461
"355",8295.14789488617
"356",8171.51924779783
"357",8000.63938438175
"358",7688.63819229985
"359",7551.22416541153
"360",7228.80796364784
"361",6941.72079479505
"362",6967.3434773112
"363",6897.45857150642
"364",6938.52937020501
"365",7045.17317110128
"366",6994.42235059333
"367",7298.41156839915
"368",7907.31927320895
"369",8299.72995006498
"370",8417.27646650674
"371",8246.09526348631
"372",8373.99274754008
"373",8168.74700666613
"374",8257.70275090844
"375",8239.77096843713
"376",8198.8390173166
"377",8120.26616684814
"378",8065.11891669221
"379",8123.87186978597
"380",8283.30286264894
"381",8050.3772863196
"382",7738.87956834561
"383",7452.8612453378
"384",7304.35406419766
"385",7140.72905061901
"386",7026.949630974
"387",7018.46896042885
"388",7016.45937675851
"389",6855.73245115858
"390",6882.94019358481
"391",7053.42156405913
"392",7643.92547071672
"393",8233.12026240233
"394",8461.09536301859
"395",8406.11286582158
"396",8626.56683907088
"397",8290.06855655501
"398",8326.58054573467
"399",8250.17508176914
"400",8050.16465757287
"401",7939.12901414729
"402",7969.11337920088
"403",8058.89010492695
"404",8042.01466016695
"405",8082.83711831224
"406",7562.89569511115
"407",7419.75956546633
"408",7259.68812269718
"409",6970.52752801921
"410",6840.85286202522
"411",6839.18279457856
"412",6829.24034264892
"413",6762.75986262917
"414",6733.79563136498
"415",6873.5755825732
"416",7005.66412747455
"417",7334.36430584552
"418",7553.89575760952
"419",7757.04868943475
"420",7601.74082014765
"421",7650.52178335075
"422",7525.10462478436
"423",7503.24425087102
"424",7376.86664518937
"425",7326.65407684058
"426",7348.56028058144
"427",7613.51695801283
"428",7761.94218535871
"429",7433.00470259178
"430",7190.32841577826
"431",7200.76812438994
"432",7013.12981290964
"433",6940.17837257398
"434",6853.04371844563
"435",6915.3372938707
"436",6944.97664997051
"437",6791.60637100778
"438",6768.33710163029
"439",6858.23952496029
"440",7212.11589647118
"441",7445.34522226008
"442",7614.93045415498
"443",7775.17292709328
