"","x"
"186",7777.61810966901
"187",7832.37263470241
"188",7800.39868840637
"189",7583.69525591468
"190",7334.30289456298
"191",7105.3631663204
"192",6956.32964293525
"193",6758.55634874683
"194",6668.19498711004
"195",6674.16361229691
"196",6673.08314531016
"197",6596.42165776755
"198",6656.39761824265
"199",6901.23251952346
"200",7365.29318849837
"201",7786.65505356666
"202",8032.45256204035
"203",8184.18326873478
"204",8330.87162037106
"205",8196.57356130919
"206",8126.48942335653
"207",8101.64110232323
"208",8011.25565205291
"209",7940.11876260405
"210",7873.60018960889
"211",7930.39165573406
"212",7890.35422375735
"213",7695.43878066543
"214",7442.83630869674
"215",7214.73786675464
"216",7052.80752970609
"217",6846.79109470976
"218",6730.75220437184
"219",6718.9657378966
"220",6708.65778574341
"221",6610.47879257467
"222",6674.81741510225
"223",6910.3585210791
"224",7301.42260667926
"225",7754.81062520323
"226",8001.25412134307
"227",8152.98873610457
"228",8286.36836169198
"229",8143.13090793801
"230",8088.07556831065
"231",8032.11691510893
"232",7917.73772809272
"233",7839.33885109784
"234",7776.48703620698
"235",7889.64762608104
"236",7859.2394827166
"237",7627.36492237471
"238",7379.65496311055
"239",7165.13955131718
"240",7018.59169801255
"241",6789.85666800656
"242",6688.66061478923
"243",6677.01931514467
"244",6661.9013384274
"245",6579.5144734871
"246",6626.06160813948
"247",6876.77250698807
"248",7313.86802394664
"249",7722.61316293238
"250",7967.64616695994
"251",8065.39586615397
"252",8183.24219194719
"253",8024.32837729451
"254",7942.86513308136
"255",7899.41725071876
"256",7790.34424478303
"257",7697.8034026847
"258",7661.06395676796
"259",7795.82495231189
"260",7776.35195759062
"261",7575.22368080716
"262",7339.18054938397
"263",7134.56713123227
"264",6978.13639570212
"265",6778.45451481703
"266",6657.91958561298
"267",6645.79533977821
"268",6617.96951856449
"269",6524.2011752572
"270",6581.17863278088
"271",6806.09318395798
"272",7205.32957654589
"273",7623.57330143522
"274",7862.70090625258
"275",7991.89796488264
"276",8118.5208445271
"277",7940.0150321174
"278",7861.97744506712
"279",7788.22431033884
"280",7666.54744422169
"281",7574.68286584792
"282",7538.32582487225
"283",7697.40912341669
"284",7712.02995750742
"285",7515.59724206955
"286",7284.84366367485
"287",7082.48161318515
"288",6930.46557734423
"289",6740.20363539921
"290",6706.42717898634
