"","x"
"158",7902.77188719885
"159",7938.87585340552
"160",7873.59776766076
"161",7816.16929566074
"162",7742.92360468606
"163",7870.88417759093
"164",7969.30219293345
"165",7667.80357791446
"166",7310.9613333093
"167",6929.06377731664
"168",6827.30963873648
"169",6758.07712016269
"170",6633.55238601896
"171",6638.60106992484
"172",6625.53671182188
"173",6734.21945744673
"174",6539.43062889762
"175",6934.77365982447
"176",7611.23630791754
"177",7943.19211096486
"178",8148.29858582352
"179",8284.42411963341
"180",8463.90822318032
"181",7967.18906525707
"182",8030.44747681845
"183",8044.79868473741
"184",7975.46499998986
"185",7934.99630563789
"186",7853.27072583918
"187",7840.39140610155
"188",7927.01131525412
"189",7777.78200824915
"190",7231.43268296795
"191",7105.40655496978
"192",6966.04595290916
"193",6718.36707821242
"194",6677.96623832053
"195",6784.03620647784
"196",6814.10867413188
"197",6760.93615046339
"198",6735.0077167579
"199",7038.91542471265
"200",7541.72469732243
"201",8104.84964352904
"202",8256.12725889606
"203",8262.10493379809
"204",8280.47114968852
"205",8157.97317247768
"206",8059.00762392728
"207",8053.81821846914
"208",7818.57366542544
"209",7815.71143455393
"210",7808.09270926084
"211",7896.97205541151
"212",7981.01112883502
"213",7567.79919582997
"214",7309.76609056562
"215",7027.04636473221
"216",6971.0098876381
"217",6673.55775245251
"218",6730.17393813978
"219",6740.38429350377
"220",6707.77932202371
"221",6696.26886083847
"222",6716.42677943746
"223",7049.46106204865
"224",7378.61695917514
"225",7848.83181913591
"226",8013.75099478505
"227",7994.65769403345
"228",8114.78257581218
"229",7922.97072473539
"230",7794.14121989169
"231",7949.70101127158
"232",7821.37679557429
"233",7430.65182370824
"234",7471.70028644868
"235",7842.99679952123
"236",7873.57570427154
"237",7450.40911916872
"238",7102.41545420602
"239",6837.02419683909
"240",6834.81657923662
"241",6683.73469897007
"242",6776.42959919719
"243",6777.79137491872
"244",6785.37370264817
"245",6613.48273544332
"246",6532.98806060933
"247",6569.59492519808
"248",6850.8210159279
"249",7258.72712757301
"250",7491.85410463279
"251",7462.43746096498
"252",7458.68222774926
"253",7601.64163981224
"254",7386.90717427298
"255",7321.6211654098
"256",7173.38764551696
"257",7272.28408053375
"258",7311.12039836357
"259",7395.20676387458
"260",7455.28093409976
"261",7188.07056519531
"262",7055.02364738073
"263",6817.65289221492
"264",6686.40348815989
"265",6540.48327935145
"266",6388.96843066921
"267",6392.54235130135
"268",6417.82183831572
"269",6460.14023662211
"270",6433.84311209819
"271",6565.94089866183
"272",6721.07472948659
"273",7080.6823439166
"274",7252.97533593446
"275",7456.57128951812
"276",7419.26519182473
"277",7249.20609903566
"278",7174.94283532047
"279",7339.71989716126
"280",7120.32904931031
"281",7158.76019010361
"282",7084.77711749206
"283",7205.36387402821
"284",7354.29253149644
"285",7134.64327817022
"286",6957.35346214333
"287",6740.2607019915
"288",6575.09174264037
"289",6517.65733025653
"290",6546.46911791966
"291",6597.60415413002
"292",6697.35918646844
"293",6646.03011689213
"294",6613.09655763636
"295",7025.76805702969
"296",7311.78712839918
"297",8020.54494788796
"298",8211.27248082761
"299",8271.44770603972
"300",8163.35297120665
"301",7882.68663288682
"302",7971.38471092028
"303",7691.15195490898
"304",7650.57615399942
"305",7612.6882953765
"306",7615.76160381804
"307",7868.70836417268
"308",8040.49585238393
"309",7740.10330982025
"310",7337.17471291061
"311",7175.38557552416
"312",7003.94887225962
"313",6629.44035602093
"314",6685.42922497762
"315",6687.52838233602
"316",6858.80943345099
"317",6661.47879977408
"318",6682.74279082838
"319",7072.18676866025
"320",7621.08239357452
"321",8021.61468885091
"322",8090.67425170673
"323",8157.11722083224
"324",8269.13090460539
"325",8172.07259386661
"326",7876.5948390899
"327",7868.82459790271
"328",7599.29179874448
"329",7527.85307564389
"330",7533.13852899605
"331",7971.53677102393
"332",8028.29272388318
"333",7352.94161897023
"334",7228.37458997967
"335",7035.98411466304
"336",6859.01704912197
"337",6617.23722752019
"338",6607.74402872845
"339",6688.00563959525
"340",6753.84111663757
"341",6817.54358241324
"342",6786.45347724965
"343",7180.32174490276
"344",7612.71107119129
"345",7792.3975662246
"346",8025.15585246594
"347",8129.20528507191
"348",8144.99066523329
"349",7968.29513771237
"350",7753.92936299155
"351",7535.26797365904
"352",7514.60147694502
"353",7457.91038658188
"354",7216.172991582
"355",7944.36221690047
"356",7813.08585235743
"357",7642.47247788318
"358",7328.39836821659
"359",7191.68020648377
"360",6861.70645129181
"361",6624.71961032971
"362",6652.52657184846
"363",6579.41280224594
"364",6623.1268301821
"365",6735.12779317287
"366",6682.28492972157
"367",6989.51085504225
"368",7613.98809773586
"369",8007.88395828041
"370",8120.08034689322
"371",7939.50046766671
